%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
1.2e-12,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
2.64e-12,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
4.368e-12,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
6.4416e-12,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
8.92992e-12,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
1.19159e-11,1.6425e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
1.54991e-11,1.64251e-17,7.94629e-09,5.98451e-15,0,4.00081e-07
1.97989e-11,1.64251e-17,7.94629e-09,5.98452e-15,0,4.00081e-07
2.49587e-11,1.64251e-17,7.94629e-09,5.98452e-15,0,4.00081e-07
3.11504e-11,1.64251e-17,7.94629e-09,5.98453e-15,0,4.00081e-07
3.85805e-11,1.64252e-17,7.94629e-09,5.98454e-15,0,4.00081e-07
4.74965e-11,1.64252e-17,7.9463e-09,5.98456e-15,0,4.00081e-07
5.81958e-11,1.64253e-17,7.9463e-09,5.98459e-15,0,4.00081e-07
7.1035e-11,1.64255e-17,7.9463e-09,5.98462e-15,0,4.00081e-07
8.6442e-11,1.64257e-17,7.94631e-09,5.98468e-15,0,4.00081e-07
1.0493e-10,1.6426e-17,7.94631e-09,5.98476e-15,0,4.00081e-07
1.27117e-10,1.64265e-17,7.94632e-09,5.98487e-15,0,4.00081e-07
1.5374e-10,1.64272e-17,7.94634e-09,5.98504e-15,0,4.00081e-07
1.85688e-10,1.64282e-17,7.94635e-09,5.98528e-15,0,4.00081e-07
2.24026e-10,1.64296e-17,7.94638e-09,5.98563e-15,0,4.00081e-07
2.70031e-10,1.64317e-17,7.9446e-09,5.98476e-15,0,4.00081e-07
3.25237e-10,1.64333e-17,7.94317e-09,5.98456e-15,0,4.00081e-07
3.91485e-10,1.64355e-17,7.94126e-09,5.9844e-15,0,4.00081e-07
4.70983e-10,1.64388e-17,7.93859e-09,5.98424e-15,0,4.00081e-07
5.66376e-10,1.64436e-17,7.9348e-09,5.98407e-15,0,4.00081e-07
6.80846e-10,1.64505e-17,7.9294e-09,5.98385e-15,0,4.00081e-07
8.18209e-10,1.64605e-17,7.9217e-09,5.98356e-15,0,4.00081e-07
9.83036e-10,1.6475e-17,7.91076e-09,5.98315e-15,0,4.00081e-07
1.18082e-09,1.64962e-17,7.89525e-09,5.98259e-15,0,4.00081e-07
1.41818e-09,1.65272e-17,7.87344e-09,5.98181e-15,0,4.00081e-07
1.703e-09,1.65726e-17,7.84605e-09,5.98408e-15,0,4.00081e-07
2.04084e-09,1.66324e-17,7.80669e-09,5.98408e-15,0,4.00081e-07
2.42482e-09,1.67165e-17,7.75687e-09,5.9849e-15,0,4.00081e-07
2.83299e-09,1.68269e-17,7.6992e-09,5.98695e-15,0,4.00081e-07
3.19986e-09,1.69469e-17,7.6442e-09,5.99027e-15,0,4.00081e-07
3.53868e-09,1.70765e-17,7.59001e-09,5.99309e-15,0,4.00081e-07
3.85633e-09,1.72154e-17,7.53625e-09,5.99493e-15,0,4.00081e-07
4.15764e-09,1.73633e-17,7.48303e-09,5.99589e-15,0,4.00081e-07
4.44596e-09,1.75205e-17,7.43043e-09,5.99609e-15,0,4.00081e-07
4.72374e-09,1.76868e-17,7.37862e-09,5.99574e-15,0,4.00081e-07
4.99273e-09,1.78624e-17,7.32776e-09,5.99507e-15,0,4.00081e-07
5.25437e-09,1.80472e-17,7.27791e-09,5.99419e-15,0,4.00081e-07
5.50969e-09,1.82412e-17,7.22923e-09,5.99334e-15,0,4.00081e-07
5.75956e-09,1.84443e-17,7.18154e-09,5.99236e-15,0,4.00081e-07
6.00469e-09,1.86565e-17,7.13504e-09,5.99154e-15,0,4.00081e-07
6.24566e-09,1.88775e-17,7.08961e-09,5.9908e-15,0,4.00081e-07
6.48295e-09,1.91073e-17,7.0452e-09,5.99013e-15,0,4.00081e-07
6.71699e-09,1.93456e-17,7.00173e-09,5.98948e-15,0,4.00081e-07
6.94815e-09,1.95923e-17,6.95923e-09,5.98895e-15,0,4.00081e-07
7.1768e-09,1.98473e-17,6.91761e-09,5.98846e-15,0,4.00081e-07
7.40332e-09,2.01103e-17,6.87681e-09,5.98805e-15,0,4.00081e-07
7.62804e-09,2.03814e-17,6.83679e-09,5.98768e-15,0,4.00081e-07
7.8514e-09,2.06606e-17,6.79743e-09,5.9873e-15,0,4.00081e-07
8.0737e-09,2.09478e-17,6.75872e-09,5.98696e-15,0,4.00081e-07
8.29482e-09,2.12425e-17,6.7207e-09,5.98667e-15,0,4.00081e-07
8.515e-09,2.15446e-17,6.68333e-09,5.98644e-15,0,4.00081e-07
8.7346e-09,2.18541e-17,6.64653e-09,5.98623e-15,0,4.00081e-07
