%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.63125e-17,7.87011e-09,5.93052e-15,0,4.00081e-07
1.2e-12,1.63125e-17,7.87011e-09,5.93052e-15,0,4.00081e-07
2.64e-12,1.63125e-17,7.87011e-09,5.93052e-15,0,4.00081e-07
4.368e-12,1.63125e-17,7.87011e-09,5.93052e-15,0,4.00081e-07
6.4416e-12,1.63125e-17,7.87012e-09,5.93052e-15,0,4.00081e-07
8.92992e-12,1.63125e-17,7.87012e-09,5.93053e-15,0,4.00081e-07
1.19159e-11,1.63125e-17,7.87012e-09,5.93053e-15,0,4.00081e-07
1.54991e-11,1.63125e-17,7.87012e-09,5.93053e-15,0,4.00081e-07
1.97989e-11,1.63125e-17,7.87012e-09,5.93053e-15,0,4.00081e-07
2.49587e-11,1.63125e-17,7.87012e-09,5.93054e-15,0,4.00081e-07
3.11504e-11,1.63126e-17,7.87012e-09,5.93055e-15,0,4.00081e-07
3.85805e-11,1.63126e-17,7.87012e-09,5.93056e-15,0,4.00081e-07
4.74965e-11,1.63127e-17,7.87012e-09,5.93058e-15,0,4.00081e-07
5.81958e-11,1.63128e-17,7.87013e-09,5.9306e-15,0,4.00081e-07
7.1035e-11,1.63129e-17,7.87013e-09,5.93064e-15,0,4.00081e-07
8.6442e-11,1.63131e-17,7.87013e-09,5.93069e-15,0,4.00081e-07
1.0493e-10,1.63135e-17,7.87014e-09,5.93077e-15,0,4.00081e-07
1.27117e-10,1.63139e-17,7.87015e-09,5.93089e-15,0,4.00081e-07
1.5374e-10,1.63146e-17,7.87016e-09,5.93105e-15,0,4.00081e-07
1.85688e-10,1.63156e-17,7.87018e-09,5.93129e-15,0,4.00081e-07
2.24026e-10,1.6317e-17,7.87021e-09,5.93164e-15,0,4.00081e-07
2.70031e-10,1.63191e-17,7.86845e-09,5.93078e-15,0,4.00081e-07
3.25237e-10,1.63206e-17,7.86703e-09,5.93057e-15,0,4.00081e-07
3.91485e-10,1.63229e-17,7.86512e-09,5.93041e-15,0,4.00081e-07
4.70983e-10,1.63262e-17,7.86247e-09,5.93026e-15,0,4.00081e-07
5.66376e-10,1.63309e-17,7.85871e-09,5.93009e-15,0,4.00081e-07
6.80846e-10,1.63377e-17,7.85336e-09,5.92987e-15,0,4.00081e-07
8.18209e-10,1.63477e-17,7.84572e-09,5.92958e-15,0,4.00081e-07
9.83036e-10,1.63621e-17,7.83485e-09,5.92918e-15,0,4.00081e-07
1.18082e-09,1.63832e-17,7.81947e-09,5.92862e-15,0,4.00081e-07
1.41818e-09,1.6414e-17,7.79985e-09,5.93007e-15,0,4.00081e-07
1.703e-09,1.64546e-17,7.771e-09,5.92988e-15,0,4.00081e-07
2.04164e-09,1.65141e-17,7.73191e-09,5.92994e-15,0,4.00081e-07
2.4268e-09,1.65981e-17,7.68234e-09,5.93078e-15,0,4.00081e-07
2.83481e-09,1.67079e-17,7.62517e-09,5.93288e-15,0,4.00081e-07
3.2002e-09,1.68269e-17,7.57085e-09,5.93621e-15,0,4.00081e-07
3.53719e-09,1.6955e-17,7.51739e-09,5.93901e-15,0,4.00081e-07
3.85333e-09,1.70923e-17,7.46431e-09,5.94083e-15,0,4.00081e-07
4.15346e-09,1.72387e-17,7.41176e-09,5.94181e-15,0,4.00081e-07
4.44086e-09,1.73943e-17,7.35967e-09,5.94194e-15,0,4.00081e-07
4.71787e-09,1.7559e-17,7.30849e-09,5.94167e-15,0,4.00081e-07
4.98621e-09,1.77329e-17,7.25812e-09,5.94096e-15,0,4.00081e-07
5.24723e-09,1.79159e-17,7.20879e-09,5.94009e-15,0,4.00081e-07
5.50197e-09,1.81081e-17,7.16063e-09,5.93928e-15,0,4.00081e-07
5.75128e-09,1.83093e-17,7.11341e-09,5.93828e-15,0,4.00081e-07
5.99587e-09,1.85194e-17,7.06736e-09,5.93745e-15,0,4.00081e-07
6.23631e-09,1.87383e-17,7.0224e-09,5.93673e-15,0,4.00081e-07
6.47315e-09,1.89659e-17,6.97848e-09,5.93613e-15,0,4.00081e-07
6.7067e-09,1.9202e-17,6.93544e-09,5.93548e-15,0,4.00081e-07
6.93738e-09,1.94464e-17,6.89333e-09,5.93491e-15,0,4.00081e-07
7.16551e-09,1.96989e-17,6.85213e-09,5.93443e-15,0,4.00081e-07
7.39146e-09,1.99594e-17,6.81175e-09,5.93402e-15,0,4.00081e-07
7.61558e-09,2.02278e-17,6.77217e-09,5.93367e-15,0,4.00081e-07
7.83824e-09,2.05042e-17,6.73326e-09,5.93332e-15,0,4.00081e-07
8.05975e-09,2.07883e-17,6.69499e-09,5.93298e-15,0,4.00081e-07
8.28048e-09,2.10804e-17,6.65733e-09,5.93269e-15,0,4.00081e-07
8.50076e-09,2.13805e-17,6.62022e-09,5.93244e-15,0,4.00081e-07
8.7209e-09,2.16886e-17,6.58362e-09,5.93223e-15,0,4.00081e-07
8.94099e-09,2.20046e-17,6.5475e-09,5.93204e-15,0,4.00081e-07
9.16088e-09,2.23279e-17,6.51189e-09,5.93184e-15,0,4.00081e-07
9.38092e-09,2.26587e-17,6.47672e-09,5.93165e-15,0,4.00081e-07
9.60135e-09,2.29971e-17,6.44199e-09,5.93151e-15,0,4.00081e-07
9.82242e-09,2.33433e-17,6.40764e-09,5.93142e-15,0,4.00081e-07
1.00444e-08,2.36973e-17,6.37363e-09,5.93134e-15,0,4.00081e-07
1.02673e-08,2.4059e-17,6.33995e-09,5.9313e-15,0,4.00081e-07
1.04912e-08,2.44282e-17,6.3066e-09,5.93126e-15,0,4.00081e-07
1.07163e-08,2.4805e-17,6.27355e-09,5.93124e-15,0,4.00081e-07
1.09428e-08,2.51899e-17,6.24075e-09,5.93124e-15,0,4.00081e-07
1.11711e-08,2.5583e-17,6.20817e-09,5.93125e-15,0,4.00081e-07
1.14007e-08,2.59836e-17,6.17586e-09,5.93128e-15,0,4.00081e-07
1.16318e-08,2.63917e-17,6.14381e-09,5.93131e-15,0,4.00081e-07
1.18646e-08,2.68075e-17,6.11199e-09,5.93137e-15,0,4.00081e-07
1.20994e-08,2.72314e-17,6.08034e-09,5.93141e-15,0,4.00081e-07
1.23365e-08,2.76637e-17,6.04885e-09,5.93144e-15,0,4.00081e-07
1.25752e-08,2.81033e-17,6.01759e-09,5.93148e-15,0,4.00081e-07
1.28155e-08,2.85498e-17,5.98659e-09,5.93154e-15,0,4.00081e-07
1.30576e-08,2.90035e-17,5.95579e-09,5.93158e-15,0,4.00081e-07
1.33019e-08,2.9465e-17,5.92518e-09,5.93167e-15,0,4.00081e-07
1.35487e-08,2.99348e-17,5.8947e-09,5.93177e-15,0,4.00081e-07
1.37981e-08,3.04129e-17,5.86436e-09,5.93187e-15,0,4.00081e-07
1.40488e-08,3.08968e-17,5.83428e-09,5.93194e-15,0,4.00081e-07
1.4301e-08,3.13869e-17,5.80444e-09,5.93197e-15,0,4.00081e-07
1.4555e-08,3.18834e-17,5.77482e-09,5.93198e-15,0,4.00081e-07
1.4811e-08,3.23867e-17,5.74542e-09,5.93206e-15,0,4.00081e-07
1.50695e-08,3.28977e-17,5.71616e-09,5.93212e-15,0,4.00081e-07
1.53303e-08,3.3416e-17,5.68705e-09,5.93216e-15,0,4.00081e-07
1.55929e-08,3.39403e-17,5.65817e-09,5.93218e-15,0,4.00081e-07
1.58574e-08,3.44711e-17,5.62951e-09,5.93227e-15,0,4.00081e-07
1.61242e-08,3.50088e-17,5.60103e-09,5.93235e-15,0,4.00081e-07
1.6393e-08,3.5553e-17,5.57274e-09,5.9324e-15,0,4.00081e-07
1.66638e-08,3.61033e-17,5.54465e-09,5.93242e-15,0,4.00081e-07
1.69368e-08,3.66605e-17,5.51673e-09,5.93241e-15,0,4.00081e-07
1.72109e-08,3.72221e-17,5.48911e-09,5.93241e-15,0,4.00081e-07
1.74863e-08,3.77886e-17,5.46176e-09,5.93242e-15,0,4.00081e-07
1.77633e-08,3.836e-17,5.43466e-09,5.9324e-15,0,4.00081e-07
1.8042e-08,3.89372e-17,5.40778e-09,5.93239e-15,0,4.00081e-07
1.83226e-08,3.95202e-17,5.38112e-09,5.93238e-15,0,4.00081e-07
1.86055e-08,4.01096e-17,5.35466e-09,5.9324e-15,0,4.00081e-07
1.88908e-08,4.07062e-17,5.32837e-09,5.93247e-15,0,4.00081e-07
1.91788e-08,4.13101e-17,5.30223e-09,5.93251e-15,0,4.00081e-07
