%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
1.2e-12,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
2.64e-12,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
4.368e-12,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.61682e-17,7.76992e-09,5.85984e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.61682e-17,7.76992e-09,5.85985e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.61683e-17,7.76992e-09,5.85985e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.61683e-17,7.76992e-09,5.85986e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.61683e-17,7.76992e-09,5.85987e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.61684e-17,7.76993e-09,5.85989e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.61685e-17,7.76993e-09,5.85991e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.61687e-17,7.76993e-09,5.85995e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.61689e-17,7.76994e-09,5.86e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.61692e-17,7.76994e-09,5.86008e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.61697e-17,7.76995e-09,5.8602e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.61703e-17,7.76997e-09,5.86036e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.61713e-17,7.76999e-09,5.8606e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.61727e-17,7.77001e-09,5.86094e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.61748e-17,7.77005e-09,5.86143e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.61777e-17,7.76752e-09,5.8602e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.618e-17,7.76549e-09,5.85991e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.61832e-17,7.76278e-09,5.85968e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.61879e-17,7.759e-09,5.85946e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.61947e-17,7.75365e-09,5.85922e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.62046e-17,7.74605e-09,5.85891e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.62189e-17,7.73526e-09,5.8585e-15,1.0004e-07,2.9606e-07
1.18082e-09,1.62398e-17,7.72e-09,5.85793e-15,1.0004e-07,2.9606e-07
1.41818e-09,1.62702e-17,7.69852e-09,5.85714e-15,1.0004e-07,2.9606e-07
1.703e-09,1.6315e-17,7.67157e-09,5.85935e-15,1.0004e-07,2.9606e-07
2.04084e-09,1.63736e-17,7.63287e-09,5.85931e-15,1.0004e-07,2.9606e-07
2.42482e-09,1.64561e-17,7.5839e-09,5.86006e-15,1.0004e-07,2.9606e-07
2.83282e-09,1.65642e-17,7.52729e-09,5.86202e-15,1.0004e-07,2.9606e-07
3.19983e-09,1.66819e-17,7.4733e-09,5.86526e-15,1.0004e-07,2.9606e-07
3.53808e-09,1.68088e-17,7.42026e-09,5.86803e-15,1.0004e-07,2.9606e-07
3.85522e-09,1.69447e-17,7.36764e-09,5.86984e-15,1.0004e-07,2.9606e-07
4.15617e-09,1.70897e-17,7.31555e-09,5.87079e-15,1.0004e-07,2.9606e-07
4.44432e-09,1.72439e-17,7.264e-09,5.87097e-15,1.0004e-07,2.9606e-07
4.72202e-09,1.74073e-17,7.21326e-09,5.87066e-15,1.0004e-07,2.9606e-07
4.99101e-09,1.75798e-17,7.16343e-09,5.87e-15,1.0004e-07,2.9606e-07
5.25265e-09,1.77615e-17,7.11457e-09,5.86913e-15,1.0004e-07,2.9606e-07
5.50804e-09,1.79524e-17,7.06687e-09,5.8683e-15,1.0004e-07,2.9606e-07
5.75804e-09,1.81523e-17,7.02015e-09,5.86737e-15,1.0004e-07,2.9606e-07
6.00329e-09,1.83613e-17,6.97457e-09,5.86657e-15,1.0004e-07,2.9606e-07
6.24443e-09,1.85791e-17,6.93003e-09,5.86584e-15,1.0004e-07,2.9606e-07
6.48195e-09,1.88057e-17,6.88652e-09,5.86523e-15,1.0004e-07,2.9606e-07
6.71621e-09,1.90408e-17,6.84391e-09,5.8646e-15,1.0004e-07,2.9606e-07
6.94758e-09,1.92843e-17,6.80224e-09,5.86407e-15,1.0004e-07,2.9606e-07
7.1765e-09,1.9536e-17,6.76141e-09,5.86359e-15,1.0004e-07,2.9606e-07
7.40328e-09,1.97958e-17,6.72142e-09,5.86319e-15,1.0004e-07,2.9606e-07
7.62825e-09,2.00636e-17,6.68219e-09,5.86286e-15,1.0004e-07,2.9606e-07
7.85186e-09,2.03395e-17,6.64362e-09,5.86252e-15,1.0004e-07,2.9606e-07
8.07447e-09,2.06234e-17,6.60566e-09,5.86217e-15,1.0004e-07,2.9606e-07
8.29628e-09,2.09153e-17,6.56831e-09,5.8619e-15,1.0004e-07,2.9606e-07
8.51719e-09,2.12146e-17,6.53159e-09,5.86166e-15,1.0004e-07,2.9606e-07
8.73752e-09,2.15213e-17,6.49452e-09,5.8599e-15,1.0004e-07,2.9606e-07
8.95761e-09,2.18369e-17,6.45861e-09,5.85939e-15,1.0004e-07,2.9606e-07
9.17774e-09,2.216e-17,6.4233e-09,5.85909e-15,1.0004e-07,2.9606e-07
9.39827e-09,2.24908e-17,6.38845e-09,5.85888e-15,1.0004e-07,2.9606e-07
9.61948e-09,2.28297e-17,6.35401e-09,5.85875e-15,1.0004e-07,2.9606e-07
9.84164e-09,2.31767e-17,6.31992e-09,5.85866e-15,1.0004e-07,2.9606e-07
1.00644e-08,2.35311e-17,6.28621e-09,5.85859e-15,1.0004e-07,2.9606e-07
1.02881e-08,2.3893e-17,6.25286e-09,5.85855e-15,1.0004e-07,2.9606e-07
1.05129e-08,2.42627e-17,6.21981e-09,5.85852e-15,1.0004e-07,2.9606e-07
1.07389e-08,2.46401e-17,6.18705e-09,5.8585e-15,1.0004e-07,2.9606e-07
1.09659e-08,2.50247e-17,6.15461e-09,5.85849e-15,1.0004e-07,2.9606e-07
1.11942e-08,2.54169e-17,6.12243e-09,5.85849e-15,1.0004e-07,2.9606e-07
1.14242e-08,2.5817e-17,6.09049e-09,5.8585e-15,1.0004e-07,2.9606e-07
1.16561e-08,2.62253e-17,6.05875e-09,5.85853e-15,1.0004e-07,2.9606e-07
1.18892e-08,2.66405e-17,6.02729e-09,5.85857e-15,1.0004e-07,2.9606e-07
1.21239e-08,2.70629e-17,5.99606e-09,5.8586e-15,1.0004e-07,2.9606e-07
1.23603e-08,2.7493e-17,5.96571e-09,5.86035e-15,1.0004e-07,2.9606e-07
1.25989e-08,2.79296e-17,5.935e-09,5.86065e-15,1.0004e-07,2.9606e-07
1.28397e-08,2.83745e-17,5.90437e-09,5.86077e-15,1.0004e-07,2.9606e-07
1.3082e-08,2.88258e-17,5.87398e-09,5.86086e-15,1.0004e-07,2.9606e-07
1.33259e-08,2.92839e-17,5.84382e-09,5.86098e-15,1.0004e-07,2.9606e-07
1.35718e-08,2.97494e-17,5.81384e-09,5.86109e-15,1.0004e-07,2.9606e-07
1.38201e-08,3.02227e-17,5.78399e-09,5.86116e-15,1.0004e-07,2.9606e-07
1.4071e-08,3.07044e-17,5.75424e-09,5.86123e-15,1.0004e-07,2.9606e-07
1.43234e-08,3.11921e-17,5.72473e-09,5.86125e-15,1.0004e-07,2.9606e-07
1.45775e-08,3.16859e-17,5.69545e-09,5.86128e-15,1.0004e-07,2.9606e-07
1.48335e-08,3.21864e-17,5.66638e-09,5.86136e-15,1.0004e-07,2.9606e-07
1.50917e-08,3.2694e-17,5.63748e-09,5.86142e-15,1.0004e-07,2.9606e-07
1.53523e-08,3.3209e-17,5.60871e-09,5.86145e-15,1.0004e-07,2.9606e-07
1.56154e-08,3.37316e-17,5.58009e-09,5.86148e-15,1.0004e-07,2.9606e-07
