%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
1.2e-12,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
2.64e-12,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
4.368e-12,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.64247e-17,7.94626e-09,5.98448e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.64247e-17,7.94626e-09,5.9845e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.64248e-17,7.94626e-09,5.98452e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.64249e-17,7.94626e-09,5.98453e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.6425e-17,7.94627e-09,5.98456e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.64251e-17,7.94627e-09,5.9846e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.64253e-17,7.94627e-09,5.98465e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.64257e-17,7.94628e-09,5.98473e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.64261e-17,7.94629e-09,5.98484e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.64268e-17,7.9463e-09,5.98501e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.64278e-17,7.94632e-09,5.98525e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.64292e-17,7.94634e-09,5.9856e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.64313e-17,7.94638e-09,5.9861e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.64343e-17,7.94382e-09,5.98485e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.64366e-17,7.94175e-09,5.98456e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.64399e-17,7.93899e-09,5.98432e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.64446e-17,7.93515e-09,5.98411e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.64515e-17,7.92972e-09,5.98386e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.64615e-17,7.922e-09,5.98355e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.6476e-17,7.91103e-09,5.98314e-15,1.0004e-07,2.9606e-07
1.18082e-09,1.64972e-17,7.89551e-09,5.98257e-15,1.0004e-07,2.9606e-07
1.41818e-09,1.6528e-17,7.87367e-09,5.98178e-15,1.0004e-07,2.9606e-07
1.703e-09,1.65734e-17,7.84626e-09,5.98403e-15,1.0004e-07,2.9606e-07
2.04072e-09,1.66328e-17,7.8069e-09,5.98401e-15,1.0004e-07,2.9606e-07
