%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
6.6e-05,1.32261e-14,9.40232e-11,1.1969e-15,1.00055e-07,2.96016e-07
6.60022e-05,1.32294e-14,9.40154e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60043e-05,1.32328e-14,9.40077e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60064e-05,1.32361e-14,9.40001e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60085e-05,1.32394e-14,9.39925e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60106e-05,1.32426e-14,9.39851e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60127e-05,1.32459e-14,9.39776e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60147e-05,1.32491e-14,9.39703e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60168e-05,1.32522e-14,9.39629e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60188e-05,1.32554e-14,9.39557e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60208e-05,1.32585e-14,9.39485e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60228e-05,1.32616e-14,9.39413e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60248e-05,1.32647e-14,9.39343e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60267e-05,1.32677e-14,9.39272e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60287e-05,1.32708e-14,9.39203e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60306e-05,1.32738e-14,9.39133e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60325e-05,1.32768e-14,9.39064e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60345e-05,1.32798e-14,9.38994e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60364e-05,1.32828e-14,9.38925e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60383e-05,1.32858e-14,9.38856e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60402e-05,1.32888e-14,9.38787e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60421e-05,1.32917e-14,9.38719e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.6044e-05,1.32947e-14,9.38651e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60459e-05,1.32976e-14,9.38584e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60478e-05,1.33006e-14,9.38516e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60497e-05,1.33035e-14,9.38449e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60516e-05,1.33064e-14,9.38383e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60534e-05,1.33093e-14,9.38316e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60553e-05,1.33122e-14,9.3825e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60572e-05,1.33152e-14,9.38184e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60591e-05,1.33181e-14,9.38118e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.6061e-05,1.3321e-14,9.38051e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60629e-05,1.3324e-14,9.37985e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60648e-05,1.33269e-14,9.37918e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60667e-05,1.33299e-14,9.37852e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60686e-05,1.33328e-14,9.37786e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60705e-05,1.33357e-14,9.37719e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60724e-05,1.33387e-14,9.37653e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60743e-05,1.33417e-14,9.37586e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60762e-05,1.33446e-14,9.37519e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60781e-05,1.33476e-14,9.37451e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60801e-05,1.33507e-14,9.37383e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60821e-05,1.33538e-14,9.37313e-11,1.19691e-15,1.00055e-07,2.96016e-07
6.60841e-05,1.33569e-14,9.37242e-11,1.19691e-15,1.00055e-07,2.96016e-07
