%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
1.2e-12,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
2.64e-12,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
4.368e-12,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.63123e-17,7.87011e-09,5.93052e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.63123e-17,7.87011e-09,5.93053e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.63123e-17,7.87012e-09,5.93053e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.63124e-17,7.87012e-09,5.93054e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.63124e-17,7.87012e-09,5.93054e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.63124e-17,7.87012e-09,5.93056e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.63125e-17,7.87012e-09,5.93057e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.63126e-17,7.87012e-09,5.9306e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.63128e-17,7.87013e-09,5.93064e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.6313e-17,7.87013e-09,5.93069e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.63133e-17,7.87014e-09,5.93077e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.63138e-17,7.87015e-09,5.93088e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.63144e-17,7.87016e-09,5.93105e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.63154e-17,7.87018e-09,5.93129e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.63169e-17,7.8702e-09,5.93163e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.63189e-17,7.87024e-09,5.93213e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.63219e-17,7.86769e-09,5.93089e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.63242e-17,7.86565e-09,5.9306e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.63274e-17,7.86291e-09,5.93037e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.63321e-17,7.85909e-09,5.93015e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.6339e-17,7.8537e-09,5.92991e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.63489e-17,7.84604e-09,5.9296e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.63633e-17,7.83516e-09,5.92919e-15,1.0004e-07,2.9606e-07
