%Time,bubbleVolume,bubblepressure,bubblemass,oilmass,watermass
0,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
1.2e-12,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
2.64e-12,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
4.368e-12,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
6.4416e-12,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
8.92992e-12,1.64247e-17,7.94626e-09,5.98449e-15,1.0004e-07,2.9606e-07
1.19159e-11,1.64247e-17,7.94627e-09,5.98449e-15,1.0004e-07,2.9606e-07
1.54991e-11,1.64247e-17,7.94627e-09,5.98449e-15,1.0004e-07,2.9606e-07
1.97989e-11,1.64247e-17,7.94627e-09,5.9845e-15,1.0004e-07,2.9606e-07
2.49587e-11,1.64248e-17,7.94627e-09,5.9845e-15,1.0004e-07,2.9606e-07
3.11504e-11,1.64248e-17,7.94627e-09,5.98451e-15,1.0004e-07,2.9606e-07
3.85805e-11,1.64248e-17,7.94627e-09,5.98452e-15,1.0004e-07,2.9606e-07
4.74965e-11,1.64249e-17,7.94627e-09,5.98454e-15,1.0004e-07,2.9606e-07
5.81958e-11,1.6425e-17,7.94627e-09,5.98456e-15,1.0004e-07,2.9606e-07
7.1035e-11,1.64252e-17,7.94628e-09,5.9846e-15,1.0004e-07,2.9606e-07
8.6442e-11,1.64254e-17,7.94628e-09,5.98466e-15,1.0004e-07,2.9606e-07
1.0493e-10,1.64257e-17,7.94629e-09,5.98474e-15,1.0004e-07,2.9606e-07
1.27117e-10,1.64262e-17,7.9463e-09,5.98485e-15,1.0004e-07,2.9606e-07
1.5374e-10,1.64269e-17,7.94631e-09,5.98502e-15,1.0004e-07,2.9606e-07
1.85688e-10,1.64279e-17,7.94633e-09,5.98526e-15,1.0004e-07,2.9606e-07
2.24026e-10,1.64293e-17,7.94635e-09,5.98561e-15,1.0004e-07,2.9606e-07
2.70031e-10,1.64314e-17,7.94639e-09,5.98611e-15,1.0004e-07,2.9606e-07
3.25237e-10,1.64344e-17,7.94382e-09,5.98486e-15,1.0004e-07,2.9606e-07
3.91485e-10,1.64367e-17,7.94176e-09,5.98456e-15,1.0004e-07,2.9606e-07
4.70983e-10,1.64399e-17,7.939e-09,5.98433e-15,1.0004e-07,2.9606e-07
5.66376e-10,1.64447e-17,7.93516e-09,5.98411e-15,1.0004e-07,2.9606e-07
6.80846e-10,1.64516e-17,7.92973e-09,5.98387e-15,1.0004e-07,2.9606e-07
8.18209e-10,1.64616e-17,7.922e-09,5.98356e-15,1.0004e-07,2.9606e-07
9.83036e-10,1.64761e-17,7.91104e-09,5.98314e-15,1.0004e-07,2.9606e-07
1.18082e-09,1.64972e-17,7.89552e-09,5.98257e-15,1.0004e-07,2.9606e-07
1.41818e-09,1.65281e-17,7.87368e-09,5.98178e-15,1.0004e-07,2.9606e-07
